time,Susceptible,Infected,Recovered
0,0.9999962060967528,3.7939032471835654e-06,0.0
1,0.999975151602602,4.799590702410499e-06,2.004880669553912e-05
2,0.9999485201899404,6.071064559151712e-06,4.540874550044843e-05
3,0.9999148224507215,7.678753502391107e-06,7.749879577607514e-05
4,0.9998721237025804,9.711979466220817e-06,0.00011816431795334725
5,0.9998184316513836,1.2267566566289098e-05,0.00016930078205006945
6,0.9997508827974724,1.548216591006966e-05,0.00023363503661752249
7,0.9996655290777414,1.954000641473314e-05,0.0003149309158438601
8,0.9995573378656387,2.4672894807147107e-05,0.00041798923955410893
9,0.9994201919711659,3.1160215623876034e-05,0.0005486478132101685
10,0.999246889640878,3.932893121118133e-05,0.0007137814279108111
11,0.9990290772540503,4.953599595566509e-05,0.0009213867499939296
12,0.9987561586714793,6.213541886507048e-05,0.0011817059096556842
13,0.9984143971135401,7.788084729759395e-05,0.0015077220391623548
14,0.9979859029691199,9.76361783849121e-05,0.001916460852495121
15,0.9974484536934244,0.0001223041082179999,0.0024292421983575607
16,0.9967754938079771,0.0001528261318471306,0.003071680060175647
17,0.9959361349006204,0.00019018254328187603,0.0038736825560977536
18,0.9948951556255142,0.00023539243549110622,0.004869451938994648
19,0.9936130017031375,0.00028951370040298965,0.006097484596459497
20,0.992048296633432,0.0003533717609168134,0.0075983316056512755
21,0.9901570133481129,0.0004269724200679476,0.009416014231819146
22,0.9878748189397528,0.0005113528848160239,0.011613828175431197
23,0.9851517937342904,0.000606051105907845,0.014242155159801727
24,0.981956280140731,0.0007087725371866564,0.017334947322082354
25,0.9782748826511458,0.0008153901355921458,0.020909727213262015
26,0.9741124678406726,0.0009199443611604434,0.024967587798166976
27,0.9694921643675151,0.0010146431770241217,0.029493192455460816
28,0.9644720148828307,0.0010913302140590016,0.034436654903110195
29,0.959169558652415,0.0011442290875954889,0.039686212259989445
30,0.95371361605108,0.001168308463074896,0.045118075485845094
